STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,3,SNOW WC,20001123 0000,20001123 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001124 0000,20001124 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001125 0000,20001125 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001126 0000,20001126 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001127 0000,20001127 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001128 0000,20001128 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001129 0000,20001129 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001130 0000,20001130 0100,3.92, ,INCHES
DAN,D,3,SNOW WC,20001201 0000,20001201 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001202 0000,20001202 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001203 0000,20001203 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001204 0000,20001204 0400,3.92, ,INCHES
